,_id,postUrl,title,description,score,statistics.actual.likeCount,statistics.actual.shareCount,statistics.actual.commentCount,statistics.expected.likeCount,statistics.expected.shareCount,statistics.expected.commentCount,minmax_norm
0,60fa3d2b0302c91ae1a082a5,https://www.instagram.com/p/CRSElxFFpA-/,,"Bola dentro!

O substitutivo apresentado pelo deputado @23rubensbueno (Cidadania-PR), limita pagamentos acima do teto constitucional, que atualmente é de R$ 39,2 mil.

Com isso, essa medida contemplará a todos e será novamente analisado pelo Senado. 

Saiba mais: https://www.oantagonista.com/brasil/camara-aprova-texto-que-acaba-com-os-supersalarios/

#FimDosSuperSalários",1.8252255604129848,,,391,,,261,
1,60fa3d2b0302c91ae1a082a6,https://www.facebook.com/188272077957844/posts/4162886610496351,,,2.805851544157486,11851.0,2037.0,588,3666.0,1280.0,377,1.0
2,60fa3d2b0302c91ae1a082a7,https://www.facebook.com/353551475083023/posts/1309230552848439,"'Assalto ao bolso do cidadão', diz Amoêdo, sobre 'golpe do fundão'","Aprovado há pouco na Câmara, o texto aumenta de R$ 2 bilhões para R$ 5,7 bilhões as verbas públicas destinadas às campanhas políticas do ano que vem",1.191112525188249,8710.0,1367.0,681,6322.0,592.0,1834,0.7349590751835288
3,60fa3d2b0302c91ae1a082a8,https://www.facebook.com/353551475083023/posts/1311957359242425,"'No caso de Bolsonaro, o impeachment traz estabilidade', diz Amoêdo | O Antagonista","João Amoêdo (Novo) voltou a defender o impeachment de Jair Bolsonaro nesta segunda-feira (19). Em entrevista ao Papo Antagonista, ele rebateu o discurso de que o processo traria instabilidade ao país...",1.1953959074733096,5441.0,416.0,2819,6043.0,557.0,1743,0.45911737406126063
4,60fa3d2b0302c91ae1a082a9,https://www.instagram.com/p/CRhr-LvpJF9/,,"No caso de Bolsonaro, o impeachment traz estabilidade. O que traz instabilidade é a presença de um presidente que desrespeita as leis e que diz que o processo eleitoral não vai ser sério.

Link: https://www.oantagonista.com/brasil/no-caso-de-bolsonaro-o-impeachment-traz-estabilidade-diz-amoedo/",-1.1854790118497691,,,699,,,641,
5,60fa3d2b0302c91ae1a082aa,https://www.facebook.com/323983461125902/posts/2083553715168859,"'Vou entregar provas de que o Aécio ganhou as eleições', diz Bolsonaro | O Antagonista","Jair Bolsonaro voltou a levantar suspeitas sobre o processo eleitoral nesta terça-feira (20). Em entrevista à rádio Itatiaia, o presidente defendeu a implementação do voto impresso no Brasil. Bolsonaro disse, mais uma vez, que Aécio Neves deveria ter vencido Dilma Rousseff...",16.719806763285025,1313.0,288.0,1803,203.0,28.0,94,0.11079233819930807
6,60fa3d2b0302c91ae1a082ab,https://www.facebook.com/271075406319289/posts/4212901692136621,"Urgente: em mensagens, Dominguetti cita participação de Bolsonaro na compra das vacinas da Davati - O Antagonista",Conversas obtidas pela CPI e às quais O Antagonista teve acesso mostram que o presidente estaria envolvido pessoalmente na negociação dos imunizantes da AstraZeneca com o policial militar e o reverendo Amilton,1.6782935336731957,4196.0,1029.0,367,2356.0,688.0,257,0.3540629482744072
7,60fa3d2b0302c91ae1a082ac,https://www.facebook.com/323983461125902/posts/2080067988850765,Bolsonaro derruba audiência de Sikêra | O Antagonista,"Jair Bolsonaro, entrevistado por Siquêra Jr no hospital, derrubou a audiência da RedeTV!, segundo os dados preliminares do Ibope",12.112709832134293,1147.0,245.0,1387,203.0,28.0,94,0.09678508142772761
8,60fa3d2b0302c91ae1a082ad,https://www.facebook.com/323983461125902/posts/2083874991803398,Angola rejeita receber delegação de parlamentares brasileiros pró-Universal | O Antagonista,"O presidente de Angola, João Manuel Lourenço, não quis receber uma delegação parlamentar brasileira para defender os interesses da Igreja Universal no país. O pedido foi feito pelo vice-presidente Hamilton Mourão...",10.951456310679612,1655.0,571.0,783,203.0,27.0,94,0.13965066239135937
9,60fa3d2b0302c91ae1a082ae,https://www.facebook.com/323983461125902/posts/2085223115001919,Militares ameaçam anular a eleição de 2022 | O Antagonista,"O ministro da Defesa, acompanhado pelos comandantes militares, avisou que, sem voto impresso, não teremos eleição em 2022",16.102564102564102,1007.0,424.0,1892,113.0,17.0,67,0.08497173234326218
10,60fa3d2b0302c91ae1a082af,https://www.facebook.com/323983461125902/posts/2084452558412308,Macron concede a Randolfe Rodrigues a mais alta distinção da França,"Segundo o governo francês, o senador receberá a comenda Légion d’honneur pela sua atuação na pandemia e por sua “defesa fervorosa” do meio ambiente",13.751633986928105,1826.0,136.0,816,139.0,20.0,69,0.15407982448738503
