,_id,postUrl,title,description,score,statistics.actual.likeCount,statistics.actual.shareCount,statistics.actual.commentCount,statistics.expected.likeCount,statistics.expected.shareCount,statistics.expected.commentCount,minmax_norm
0,60fa3dac0302c91ae1a08ad3,https://www.facebook.com/180562885329138/posts/2425075284211209,Médica do RN rasga receita após paciente idoso dizer que votou em Haddad para presidente,"Caso aconteceu nesta segunda-feira (8), no Hospital Giselda Trigueiro, em Natal. Médica conversou com o G1, disse que está arrependida e pede desculpas.",9.799736147757256,8591.0,9514.0,4763,2348.0,234.0,623,1.0
1,60fa3dac0302c91ae1a08ad4,https://www.facebook.com/165205036869225/posts/2173585499364492,Médica do RN rasga receita após paciente idoso dizer que votou em Haddad para presidente,"Caso aconteceu nesta segunda-feira (8), no Hospital Giselda Trigueiro, em Natal. Médica conversou com o G1, disse que está arrependida e pede desculpas.",3.3109528653780944,4492.0,4637.0,1600,3482.0,567.0,629,0.5228727738330812
2,60fa3dac0302c91ae1a08ad5,https://www.facebook.com/419178804809295/posts/2014916358568857,Médica do RN rasga receita após paciente idoso dizer que votou em Haddad para presidente,"Caso aconteceu nesta segunda-feira (8), no Hospital Giselda Trigueiro, em Natal. Médica conversou com o G1, disse que está arrependida e pede desculpas.",8.495652173913044,1075.0,1612.0,152,267.0,78.0,31,0.12513095099522756
3,60fa3dac0302c91ae1a08ad6,https://www.facebook.com/651997384886002/posts/1912167402202321,Médica do RN rasga receita após paciente idoso dizer que votou em Haddad para presidente,"Caso aconteceu nesta segunda-feira (8), no Hospital Giselda Trigueiro, em Natal. Médica conversou com o G1, disse que está arrependida e pede desculpas.",4.114942528735632,298.0,539.0,157,119.0,82.0,13,0.034687463624723545
4,60fa3dac0302c91ae1a08ad7,https://www.facebook.com/665082160534746/posts/706039393105689,Médica do RN rasga receita após paciente idoso dizer que votou em Haddad para presidente,"Caso aconteceu nesta segunda-feira (8), no Hospital Giselda Trigueiro, em Natal. Médica conversou com o G1, disse que está arrependida e pede desculpas.",3.114186851211073,220.0,283.0,36,163.0,21.0,19,0.02560819462227913
5,60fa3dac0302c91ae1a08ad8,https://www.facebook.com/groups/1678789269076911/permalink/2301525506803281,,"Mais um Crime dos Fascistas!!!!

DEPOIS DO CRIME, A MÉDICA PEDIU DESCULPAS, AGORA É TARDE:
""Eu pedi perdão a Deus e pedi que ele me ajudasse a tirar de mim essa mágoa. Eu nunca gostei de extremismos e estava me transformando em algo que não gosto. Não deveria ter feito isso, eu sei. Agi por impulso e, por isso, peço desculpas"", disse a profissional.

https://g1.globo.com/rn/rio-grande-do-norte/noticia/2018/10/09/medica-do-rn-rasga-receita-apos-paciente-idoso-dizer-que-votou-em-haddad-para-presidente.ghtml",32.30769230769231,187.0,457.0,78,4.0,3.0,3,0.02176696542893726
6,60fa3dac0302c91ae1a08ad9,https://www.facebook.com/1674005479520014/posts/2158798701040687,Médica do RN rasga receita após paciente idoso dizer que votou em Haddad para presidente,"Caso aconteceu nesta segunda-feira (8), no Hospital Giselda Trigueiro, em Natal. Médica conversou com o G1, disse que está arrependida e pede desculpas.",4.392265193370166,261.0,382.0,44,84.0,44.0,20,0.030380630892794785
7,60fa3dac0302c91ae1a08ada,https://www.facebook.com/groups/376836219188958/permalink/1229471117258793,,"Mais um Crime dos Fascistas!!!!

DEPOIS DO CRIME, A MÉDICA PEDIU DESCULPAS, AGORA É TARDE:
""Eu pedi perdão a Deus e pedi que ele me ajudasse a tirar de mim essa mágoa. Eu nunca gostei de extremismos e estava me transformando em algo que não gosto. Não deveria ter feito isso, eu sei. Agi por impulso e, por isso, peço desculpas"", disse a profissional.

https://g1.globo.com/rn/rio-grande-do-norte/noticia/2018/10/09/medica-do-rn-rasga-receita-apos-paciente-idoso-dizer-que-votou-em-haddad-para-presidente.ghtml",16.595238095238095,189.0,322.0,65,8.0,4.0,5,0.021999767198230706
8,60fa3dac0302c91ae1a08adb,https://www.facebook.com/groups/346515329081671/permalink/734774673589066,,"Mais um Crime dos Fascistas!!!!

DEPOIS DO CRIME, A MÉDICA PEDIU DESCULPAS, AGORA É TARDE:
""Eu pedi perdão a Deus e pedi que ele me ajudasse a tirar de mim essa mágoa. Eu nunca gostei de extremismos e estava me transformando em algo que não gosto. Não deveria ter feito isso, eu sei. Agi por impulso e, por isso, peço desculpas"", disse a profissional.

https://g1.globo.com/rn/rio-grande-do-norte/noticia/2018/10/09/medica-do-rn-rasga-receita-apos-paciente-idoso-dizer-que-votou-em-haddad-para-presidente.ghtml",20.366666666666667,137.0,341.0,60,5.0,6.0,4,0.015946921196601096
9,60fa3dac0302c91ae1a08adc,https://www.facebook.com/361696114013781/posts/958316511018402,Míriam Leitão é nova jornalista vítima de ataques nesta eleição,Jornalista da Rede Globo virou alvo de patrulhas após afirmar que Jair Bolsonaro é risco à democracia. Mais de 120 jornalistas já foram vítimas de ataques,3.1534391534391535,185.0,289.0,27,127.0,24.0,8,0.021534163659643814
