,_id,postUrl,title,description,score,statistics.actual.likeCount,statistics.actual.shareCount,statistics.actual.commentCount,statistics.expected.likeCount,statistics.expected.shareCount,statistics.expected.commentCount,minmax_norm
0,60fa3d840302c91ae1a08a75,https://www.facebook.com/21539158238/posts/10155588733143239,Haddad chama Bolsonaro para debate e diz que vai até enfermaria se precisar, ,156.33478260869566,11908,8630,6073,94,11,53,1.0
1,60fa3d840302c91ae1a08a76,https://www.facebook.com/124493634232128/posts/2827044477310350,Haddad chama Bolsonaro para debate e diz que vai até enfermaria se precisar,"O candidato do PT à Presidência, Fernando Haddad, criticou o fato de Jair Bolsonaro (PSL) não ir ao primeiro debate entre presidenciáveis no segundo turno ...",34.697087378640774,6099,20657,4084,451,85,309,0.5121766879408801
2,60fa3d840302c91ae1a08a77,https://www.facebook.com/174217422747805/posts/1135296733306531,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",3.3005084292213005,5310,4123,2125,2045,790,626,0.4459187101108498
3,60fa3d840302c91ae1a08a78,https://www.facebook.com/21539158238/posts/864590360396628,,,16.560185185185187,1030,601,1288,85,20,52,0.08649647295935506
4,60fa3d840302c91ae1a08a79,https://www.facebook.com/228301373863551/posts/2395537297139937,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",8.997289972899729,1608,821,201,196,90,11,0.13503527040644944
5,60fa3d840302c91ae1a08a7a,https://www.facebook.com/857865584239686/posts/2759934034032822,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",9.978260869565217,609,359,112,46,20,10,0.05114208935169634
6,60fa3d840302c91ae1a08a7b,https://www.facebook.com/197558100270523/posts/2795238463835794,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",9.316326530612244,417,286,94,47,16,4,0.035018474974806854
7,60fa3d840302c91ae1a08a7c,https://www.facebook.com/303696253011553/posts/1882781688436327,Haddad chama Bolsonaro para debate e diz que vai até enfermaria se precisar,"O candidato do PT à Presidência, Fernando Haddad, criticou o fato de Jair Bolsonaro (PSL) não ir ao primeiro debate entre presidenciáveis no segundo turno ...",8.372340425531915,175,477,24,21,13,6,0.014696002687269063
8,60fa3d840302c91ae1a08a7d,https://www.facebook.com/113573438803313/posts/1030377970456184,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",2.734806629834254,237,136,67,91,26,32,0.01990258649647296
9,60fa3d840302c91ae1a08a7e,https://www.facebook.com/groups/1678789269076911/permalink/2301676260121539,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",17.458333333333332,163,129,63,4,3,3,0.01368827678871347
10,60fa3d840302c91ae1a08a7f,https://www.facebook.com/groups/376836219188958/permalink/1229698007236104,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",10.4,156,160,44,6,4,5,0.013100436681222707
11,60fa3d840302c91ae1a08a80,https://www.facebook.com/296196583659/posts/10155899906913660,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",13.333333333333334,249,41,24,8,3,2,0.020910312395028552
12,60fa3d840302c91ae1a08a81,https://www.facebook.com/groups/898294996931581/permalink/2013519422075794,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",8.795454545454545,111,127,94,7,6,9,0.009321464561639235
13,60fa3d840302c91ae1a08a82,https://www.facebook.com/462804547416354/posts/735715410125265,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",-2.1223021582733814,155,52,3,279,177,8,0.01301645952300974
14,60fa3d840302c91ae1a08a83,https://www.facebook.com/groups/365206993671208/permalink/926032787588623,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",3.5652173913043477,27,3,186,6,4,13,0.002267383271750084
15,60fa3d840302c91ae1a08a84,https://www.facebook.com/1326332770808117/posts/1862776667163722,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",1.8709677419354838,139,57,11,61,28,6,0.011672824991602285
16,60fa3d840302c91ae1a08a85,https://www.facebook.com/groups/683682231769864/permalink/1192108117593937,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",4.553191489361702,23,1,171,4,3,7,0.0019314746388982198
17,60fa3d840302c91ae1a08a86,https://www.facebook.com/244087865969758/posts/711840949194445,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",3.526315789473684,92,30,48,16,7,6,0.007725898555592879
18,60fa3d840302c91ae1a08a87,https://www.facebook.com/groups/269000926455592/permalink/2036765136345820,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",8.090909090909092,15,2,152,3,2,5,0.0012596573731944911
19,60fa3d840302c91ae1a08a88,https://www.facebook.com/695757303949632/posts/904064843118876,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",6.578947368421052,62,32,14,4,2,2,0.0052065838092038965
20,60fa3d840302c91ae1a08a89,https://www.facebook.com/groups/1697379207145597/permalink/2133631640187016,Médicos vetam ida de Bolsonaro a debates; Haddad diz que vai até enfermaria,"Os médicos que acompanham o candidato à Presidência pelo PSL, Jair Bolsonaro, não autorizaram a ida do paciente a debates eleitorais na TV e a eventos de c...",5.857142857142857,23,3,87,3,2,4,0.0019314746388982198
